aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B10_0_-1.czi,1024,1024,,,,,3500000093,B10,mum,,,,,14339.789,90570.158,8702.89,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11299.679,15569.351,8590.58,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11299.679,21703.351,8590.58,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,8232.679,18636.351,8590.58,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_-1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,14366.679,18636.351,8590.58,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_-1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11251.041,87555.618,8563.18,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11251.041,93689.618,8563.18,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,8184.041,90622.618,8563.18,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_-1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,14318.041,90622.618,8563.18,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,87552.0,8294.6,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,93686.0,8294.59,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,53190.0,90619.0,8294.59,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_-1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,59324.0,90619.0,8294.59,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x-597.18_y-597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27153.189,55925.291,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x-597.18_y0.0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27750.369,55925.291,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x-597.18_y597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,28347.549,55925.291,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x0.0_y-597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27153.189,56522.471,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x0.0_y0.0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27750.369,56522.471,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x0.0_y597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,28347.549,56522.471,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x597.18_y-597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27153.189,57119.651,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x597.18_y0.0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27750.369,57119.651,8491.333,
,,,,,6.5,6.5,,mum,,,D7_0010,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0010_x597.18_y597.18_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,28347.549,57119.651,8491.333,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11342.491,15568.998,8567.48,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11342.491,21702.998,8567.48,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,8275.491,18635.998,8567.48,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_-1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,14409.491,18635.998,8567.48,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_-1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11251.493,87555.408,8546.17,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11251.493,93689.408,8546.17,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,8184.493,90622.408,8546.17,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_-1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,14318.493,90622.408,8546.17,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,87552.0,8268.64,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,93686.0,8268.64,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,53190.0,90619.0,8268.64,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_-1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,59324.0,90619.0,8268.64,
,,,,,6.5,6.5,,mum,,,D7_0005,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0005_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27068.508,56069.392,8472.859,
,,,,,6.5,6.5,,mum,,,D7_0057,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0057_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,31508.881,55518.856,8445.753,
,,,,,6.5,6.5,,mum,,,D7_0005_0001,,,,,ScanCells.czexp,,,,,cell,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Cells\D7_0005_0001.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27068.508,56069.392,8472.859,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11319.294,15573.381,8590.31,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11319.294,21707.381,8590.31,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,8252.294,18640.381,8590.31,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_-1.czi,1024,1024,,,,,3500000425,B3,mum,,,,,14386.294,18640.381,8590.31,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_-1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11245.503,87563.134,8569.76,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_1_0.czi,1024,1024,,,,,3500000425,B11,mum,,,,,11245.503,93697.134,8569.76,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,8178.503,90630.134,8569.76,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B11_0_-1.czi,1024,1024,,,,,3500000425,B11,mum,,,,,14312.503,90630.134,8569.76,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_-1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,87552.0,8270.42,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_1_0.czi,1024,1024,,,,,3500000425,G11,mum,,,,,56257.0,93686.0,8270.42,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,53190.0,90619.0,8270.42,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_G11_0_-1.czi,1024,1024,,,,,3500000425,G11,mum,,,,,59324.0,90619.0,8270.42,
,,,,,6.5,6.5,,mum,,,D7_0002,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0002_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,26639.914,54842.762,8492.705,
,,,,,6.5,6.5,,mum,,,D7_0005,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0005_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27074.714,56067.695,8489.47,
,,,,,6.5,6.5,,mum,,,D7_0006,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0006_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,27059.632,53163.248,8490.413,
,,,,,6.5,6.5,,mum,,,D7_0012,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0012_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,28024.5,56621.508,8483.017,
,,,,,6.5,6.5,,mum,,,D7_0014,,,,,ScanColonies.czexp,,,,,colony,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\Colonies\D7_0014_x0_y0_z0.czi,1024,1024,,,,,3500000425,D7,mum,,,,,28061.834,55672.954,8483.045,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000425,B3,mum,,,,,11321.375,15569.282,8558.93,
